name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW
Ibrahima Konaté,DEF,Liverpool,6.3,0,0,15,0,1.2,326,0.01,0.18,0.17,0.63,60,1,1,6.2,39.6,2024-09-28T16:30:00Z,90,False,20,0,0,0,0.0,6,0,854385,1,2,1,21.0,7,194101.0,266081.0,71980.0,51.0,False,1.0,6.0
Chadi Riad Dnanou,DEF,Crystal Palace,0.0,0,0,0,0,0.0,195,0.0,0.0,0.0,0.0,55,0,0,0.0,0.0,2024-09-28T14:00:00Z,0,False,8,0,0,0,0.0,6,0,6785,0,1,2,0.0,0,-746.0,29.0,775.0,44.0,False,0.0,6.0
Freddie Ladapo,FWD,Ipswich,0.0,0,0,0,0,0.0,276,0.0,0.0,0.0,0.0,56,0,0,0.0,0.0,2024-09-29T13:00:00Z,0,False,2,0,0,0,0.0,6,0,117033,0,2,2,0.0,0,-18191.0,0.0,18191.0,45.0,True,0.0,6.0
Levi Colwill,DEF,Chelsea,3.8,0,0,4,0,0.3,162,0.0,0.0,0.0,1.11,54,2,0,1.8,17.8,2024-09-28T14:00:00Z,90,False,5,0,0,0,0.0,6,0,330057,1,2,4,0.0,1,157358.0,216465.0,59107.0,45.0,True,0.0,6.0
Nick Pope,GK,Newcastle,2.7,0,0,14,0,0.0,413,0.0,0.0,0.0,0.91,58,1,0,3.5,35.4,2024-09-28T11:30:00Z,90,False,13,0,0,0,0.0,6,5,811290,1,1,1,0.0,3,-117139.0,11026.0,128165.0,50.0,True,0.0,6.0
Jorge Luiz Frello Filho,MID,Arsenal,2.2,0,0,0,0,0.0,7,0.0,0.0,0.0,0.0,51,0,0,0.0,0.0,2024-09-28T14:00:00Z,0,False,11,0,0,0,0.0,6,0,28147,0,2,4,0.0,0,-1446.0,1712.0,3158.0,49.0,True,0.0,6.0
Oliwier Zych,GK,Aston Villa,0.5,0,0,0,0,0.0,641,0.0,0.0,0.0,0.0,56,0,0,0.0,0.0,2024-09-29T13:00:00Z,0,False,10,0,0,0,0.0,6,0,45424,0,2,2,0.0,0,6900.0,10896.0,3996.0,40.0,False,0.0,6.0
Luke Woolfenden,DEF,Ipswich,-0.5,0,0,0,0,0.0,284,0.0,0.0,0.0,0.0,56,0,0,0.0,0.0,2024-09-29T13:00:00Z,0,False,2,0,0,0,0.0,6,0,191944,0,2,2,0.0,0,4848.0,15117.0,10269.0,40.0,True,0.0,6.0
Łukasz Fabiański,GK,West Ham,0.0,0,0,0,0,0.0,521,0.0,0.0,0.0,0.0,53,0,0,0.0,0.0,2024-09-28T14:00:00Z,0,False,4,0,0,0,0.0,6,0,1721223,0,1,1,0.0,0,122490.0,235858.0,113368.0,40.0,False,0.0,6.0
Idrissa Gueye,MID,Everton,1.0,0,0,3,0,0.6,222,0.03,0.05,0.02,0.03,55,0,0,0.3,0.6,2024-09-28T14:00:00Z,7,False,7,0,0,0,0.0,6,0,5561,0,1,2,2.0,1,-739.0,230.0,969.0,49.0,True,0.0,6.0
Joe Gomez,DEF,Liverpool,0.7,0,0,5,0,0.3,322,0.0,0.0,0.0,0.0,60,0,0,0.3,3.0,2024-09-28T16:30:00Z,1,False,20,0,0,0,0.0,6,0,42994,0,2,1,0.0,1,-2222.0,1456.0,3678.0,48.0,False,0.0,6.0
Dominic Calvert-Lewin,FWD,Everton,3.0,0,0,-8,0,2.9,220,0.01,0.35,0.34,0.95,55,1,0,2.3,0.0,2024-09-28T14:00:00Z,90,False,7,0,0,0,0.0,6,0,631236,1,1,2,22.0,1,218760.0,336199.0,117439.0,60.0,True,1.0,6.0
Yerson Mosquera,DEF,Wolves,0.0,0,0,0,0,0.0,558,0.0,0.0,0.0,0.0,60,0,0,0.0,0.0,2024-09-28T16:30:00Z,0,False,12,0,0,0,0.0,6,0,101360,0,2,1,0.0,0,-20922.0,5035.0,25957.0,40.0,True,0.0,6.0
Sil Swinkels,DEF,Aston Villa,0.5,0,0,0,0,0.0,640,0.0,0.0,0.0,0.0,56,0,0,0.0,0.0,2024-09-29T13:00:00Z,0,False,10,0,0,0,0.0,6,0,5662,0,2,2,0.0,0,399.0,1064.0,665.0,40.0,False,0.0,6.0
Konstantinos Tsimikas,DEF,Liverpool,1.0,0,0,0,0,0.0,337,0.0,0.0,0.0,0.0,60,0,0,0.0,0.0,2024-09-28T16:30:00Z,0,False,20,0,0,0,0.0,6,0,22555,0,2,1,0.0,0,-2120.0,1102.0,3222.0,47.0,False,0.0,6.0
Christian Nørgaard,MID,Brentford,0.5,0,0,0,0,0.0,101,0.0,0.0,0.0,0.0,53,0,0,0.0,0.0,2024-09-28T14:00:00Z,0,False,19,0,0,0,0.0,6,0,9834,0,1,1,0.0,0,-1926.0,199.0,2125.0,49.0,True,0.0,6.0
Emiliano Martínez Romero,GK,Aston Villa,2.2,0,0,10,0,0.0,47,0.0,0.0,0.0,1.18,56,2,0,2.1,21.2,2024-09-29T13:00:00Z,90,False,10,0,0,0,0.0,6,3,1402685,1,2,2,0.0,2,6127.0,98407.0,92280.0,50.0,False,0.0,6.0
Declan Rice,MID,Arsenal,2.5,0,0,22,0,29.3,16,0.22,0.28,0.06,0.32,51,2,0,6.6,15.4,2024-09-28T14:00:00Z,90,False,11,0,0,0,0.0,6,0,308337,1,2,4,21.0,2,1854.0,21621.0,19767.0,63.0,True,0.0,6.0
Dejan Kulusevski,MID,Spurs,4.0,0,3,47,1,102.8,492,0.39,0.82,0.43,0.96,57,0,1,20.8,62.6,2024-09-29T15:30:00Z,90,False,14,0,0,0,0.0,6,0,136187,1,3,0,43.0,11,-24722.0,5930.0,30652.0,63.0,False,0.0,6.0
Pascal Groß,MID,Brighton,0.0,0,0,0,0,0.0,125,0.0,0.0,0.0,0.0,54,0,0,0.0,0.0,2024-09-28T14:00:00Z,0,False,6,0,0,0,0.0,6,0,3061,0,2,4,0.0,0,-170.0,0.0,170.0,65.0,False,0.0,6.0
Gabriel dos Santos Magalhães,DEF,Arsenal,9.2,0,0,7,0,7.3,3,0.05,0.32,0.27,0.32,51,2,0,8.4,19.6,2024-09-28T14:00:00Z,90,False,11,0,0,0,0.0,6,0,2452527,1,2,4,57.0,1,1006599.0,1038827.0,32228.0,61.0,True,0.0,6.0
Cody Gakpo,FWD,Liverpool,1.5,0,0,3,0,1.2,321,0.01,0.01,0.0,0.01,60,0,0,0.6,1.0,2024-09-28T16:30:00Z,17,False,20,0,0,0,0.0,6,0,188387,0,2,1,4.0,1,-17568.0,7157.0,24725.0,72.0,False,0.0,6.0
Salah-Eddine Oulad M'hand,MID,Arsenal,1.5,0,0,0,0,0.0,638,0.0,0.0,0.0,0.0,51,0,0,0.0,0.0,2024-09-28T14:00:00Z,0,False,11,0,0,0,0.0,6,0,1210,0,2,4,0.0,0,29.0,211.0,182.0,45.0,True,0.0,6.0
Mohammed Kudus,MID,West Ham,1.7,0,0,0,0,3.7,525,0.02,0.13,0.11,0.26,53,1,0,4.2,2.2,2024-09-28T14:00:00Z,45,False,4,0,0,0,0.0,6,0,486015,1,1,1,36.0,1,-52989.0,29441.0,82430.0,63.0,False,0.0,6.0
Benicio Baker-Boaitey,MID,Brighton,0.0,0,0,0,0,0.0,114,0.0,0.0,0.0,0.0,54,0,0,0.0,0.0,2024-09-28T14:00:00Z,0,False,6,0,0,0,0.0,6,0,347,0,2,4,0.0,0,-21.0,0.0,21.0,45.0,False,0.0,6.0
Vitaly Janelt,MID,Brentford,2.0,0,0,13,0,3.6,94,0.03,0.03,0.0,0.99,53,1,0,1.8,12.0,2024-09-28T14:00:00Z,90,False,19,0,0,0,0.0,6,0,22338,1,1,1,2.0,2,-7.0,2828.0,2835.0,49.0,True,0.0,6.0
